,Taxon,Branch Type,l1,l2,l1/l2,Method
148,Certhia brachydactyla,terminal,0.0401,3.5394,0.011329604,MD-CAT
149,Certhia familiaris,terminal,0.0401,3.5394,0.011329604,MD-CAT
2,  ,internal,3.2121,5.132,0.625896337,MD-CAT
563,Uria aalge,terminal,2.0162,14.2045,0.141940934,MD-CAT
4,  ,internal,16.7762,14.273,1.175380088,MD-CAT
564,Uria lomvia,terminal,2.0162,14.2045,0.141940934,MD-CAT
6,  ,internal,0.8812,0.9964,0.884383782,MD-CAT
470,Ciccaba nigrolineata,terminal,0.5693,2.2188,0.256580133,MD-CAT
471,Strix occidentalis,terminal,0.5693,2.2188,0.256580133,MD-CAT
9,  ,internal,20.211,11.0987,1.821024084,MD-CAT
10,  ,internal,0.5872,0.7346,0.799346583,MD-CAT
7,Nothocercus julius,terminal,4.7703,13.9977,0.340791701,MD-CAT
8,Nothocercus nigrocapillus,terminal,4.7703,13.9977,0.340791701,MD-CAT
13,  ,internal,3.7954,1.4674,2.586479488,MD-CAT
362,Rhegmatorhina hoffmannsi,terminal,7.2503,15.8732,0.456763602,MD-CAT
15,  ,internal,2.752,5.3153,0.517750644,MD-CAT
363,Sakesphorus luctuosus,terminal,7.2503,15.8732,0.456763602,MD-CAT
17,  ,internal,18.1084,18.371,0.985705732,MD-CAT
18,  ,internal,27.4417,27.6989,0.990714433,MD-CAT
688,Anas platyrhynchos,terminal,0.8399,1.771,0.474251835,MD-CAT
689,Anas zonorhyncha,terminal,0.8399,1.771,0.474251835,MD-CAT
21,  ,internal,30.2702,30.7898,0.983124281,MD-CAT
22,  ,internal,0.2689,1.4905,0.180409259,MD-CAT
660,Tauraco erythrolophus,terminal,25.1647,53.0498,0.474359941,MD-CAT
92,Vidua chalybeata,terminal,1.5343,3.206,0.478571429,MD-CAT
25,  ,internal,1.14,1.6108,0.707722871,MD-CAT
93,Vidua macroura,terminal,1.5343,3.206,0.478571429,MD-CAT
23,Apteryx haastii,terminal,0.3998,0.8155,0.49025138,MD-CAT
28,  ,internal,0.7853,1.4148,0.555060786,MD-CAT
29,  ,internal,51.6212,51.8724,0.995157348,MD-CAT
24,Apteryx owenii,terminal,0.3998,0.8155,0.49025138,MD-CAT
400,Cariama cristata,terminal,4.7407,9.6575,0.490882734,MD-CAT
