family,age,method
Alcedinidae,33.3776,MD-CAT+CASTLES-Pro
Caprimulgidae,18.2206,MD-CAT+CASTLES-Pro
Cardinalidae,10.3263,MD-CAT+CASTLES-Pro
Falconidae,25.0966,MD-CAT+CASTLES-Pro
Icteridae,5.617,MD-CAT+CASTLES-Pro
Irenidae,25.3278,MD-CAT+CASTLES-Pro
Musophagidae,25.1648,MD-CAT+CASTLES-Pro
Odontophoridae,15.2679,MD-CAT+CASTLES-Pro
Otididae,16.5952,MD-CAT+CASTLES-Pro
Paridae,9.0253,MD-CAT+CASTLES-Pro
Procellariidae,12.8574,MD-CAT+CASTLES-Pro
Pteroclidae,15.2518,MD-CAT+CASTLES-Pro
Scolopacidae,14.7545,MD-CAT+CASTLES-Pro
Strigidae,13.3102,MD-CAT+CASTLES-Pro
Sturnidae,15.224,MD-CAT+CASTLES-Pro
Sylviidae,18.2152,MD-CAT+CASTLES-Pro
Thraupidae,10.5366,MD-CAT+CASTLES-Pro
Vireonidae,19.7808,MD-CAT+CASTLES-Pro
Zosteropidae,6.77,MD-CAT+CASTLES-Pro
Alcidae,23.5955,MD-CAT+CASTLES-Pro
Apterygidae,1.5398,MD-CAT+CASTLES-Pro
Corvidae,10.2407,MD-CAT+CASTLES-Pro
Passerellidae,10.6239,MD-CAT+CASTLES-Pro
Scotocercidae,25.3278,MD-CAT+CASTLES-Pro
Accipitridae,7.0968,MD-CAT+CASTLES-Pro
Anatidae,27.91,MD-CAT+CASTLES-Pro
Columbidae,22.5538,MD-CAT+CASTLES-Pro
Fringillidae,11.3131,MD-CAT+CASTLES-Pro
Laridae,16.2732,MD-CAT+CASTLES-Pro
Phalacrocoracidae,3.5272,MD-CAT+CASTLES-Pro
Phasianidae,26.0334,MD-CAT+CASTLES-Pro
Ramphastidae,24.0738,MD-CAT+CASTLES-Pro
Muscicapidae,17.804,MD-CAT+CASTLES-Pro
Cuculidae,53.0864,MD-CAT+CASTLES-Pro
Tinamidae,25.5684,MD-CAT+CASTLES-Pro
Alcedinidae,30.9312,MD-CAT+Concat(RAxML)
Caprimulgidae,20.9471,MD-CAT+Concat(RAxML)
Cardinalidae,9.9693,MD-CAT+Concat(RAxML)
Falconidae,20.4895,MD-CAT+Concat(RAxML)
Icteridae,6.2478,MD-CAT+Concat(RAxML)
Irenidae,25.2236,MD-CAT+Concat(RAxML)
Musophagidae,53.0498,MD-CAT+Concat(RAxML)
Odontophoridae,14.767,MD-CAT+Concat(RAxML)
Otididae,18.4715,MD-CAT+Concat(RAxML)
Paridae,9.0665,MD-CAT+Concat(RAxML)
Procellariidae,14.4446,MD-CAT+Concat(RAxML)
Pteroclidae,16.5235,MD-CAT+Concat(RAxML)
Scolopacidae,19.5726,MD-CAT+Concat(RAxML)
Strigidae,13.6898,MD-CAT+Concat(RAxML)
Sturnidae,15.6401,MD-CAT+Concat(RAxML)
Sylviidae,18.9544,MD-CAT+Concat(RAxML)
Thraupidae,10.9856,MD-CAT+Concat(RAxML)
Vireonidae,17.7477,MD-CAT+Concat(RAxML)
Zosteropidae,8.3779,MD-CAT+Concat(RAxML)
Alcidae,22.0999,MD-CAT+Concat(RAxML)
Apterygidae,2.4263,MD-CAT+Concat(RAxML)
Corvidae,7.3155,MD-CAT+Concat(RAxML)
Passerellidae,10.6644,MD-CAT+Concat(RAxML)
Scotocercidae,21.9492,MD-CAT+Concat(RAxML)
Accipitridae,9.48,MD-CAT+Concat(RAxML)
Anatidae,27.91,MD-CAT+Concat(RAxML)
Columbidae,24.1136,MD-CAT+Concat(RAxML)
Fringillidae,12.7995,MD-CAT+Concat(RAxML)
Laridae,15.7772,MD-CAT+Concat(RAxML)
Phalacrocoracidae,3.8281,MD-CAT+Concat(RAxML)
Phasianidae,25.1023,MD-CAT+Concat(RAxML)
Ramphastidae,23.9715,MD-CAT+Concat(RAxML)
Muscicapidae,16.7633,MD-CAT+Concat(RAxML)
Cuculidae,50.6606,MD-CAT+Concat(RAxML)
Tinamidae,25.831,MD-CAT+Concat(RAxML)
Alcedinidae,32.2849,MCMCtree
Caprimulgidae,25.9092,MCMCtree
Cardinalidae,6.62411,MCMCtree
Falconidae,31.9725,MCMCtree
Icteridae,3.25167,MCMCtree
Irenidae,18.6251,MCMCtree
Musophagidae,25.3536,MCMCtree
Odontophoridae,16.8985,MCMCtree
Otididae,15.8221,MCMCtree
Paridae,6.36865,MCMCtree
Procellariidae,23.8907,MCMCtree
Pteroclidae,15.8105,MCMCtree
Scolopacidae,27.4616,MCMCtree
Strigidae,16.9957,MCMCtree
Sturnidae,10.264,MCMCtree
Sylviidae,12.3267,MCMCtree
Thraupidae,7.68091,MCMCtree
Vireonidae,18.5476,MCMCtree
Zosteropidae,5.46915,MCMCtree
Alcidae,19.2547,MCMCtree
Apterygidae,4.16329,MCMCtree
Corvidae,8.00475,MCMCtree
Passerellidae,7.61213,MCMCtree
Scotocercidae,14.991,MCMCtree
Accipitridae,9.28946,MCMCtree
Anatidae,25.2872,MCMCtree
Columbidae,23.7243,MCMCtree
Fringillidae,7.69711,MCMCtree
Laridae,20.3875,MCMCtree
Phalacrocoracidae,6.24029,MCMCtree
Phasianidae,28.759,MCMCtree
Ramphastidae,28.1048,MCMCtree
Muscicapidae,11.2672,MCMCtree
Cuculidae,48.2722,MCMCtree
Tinamidae,47.848,MCMCtree
