,Taxon,Branch Type,l1,l2,l1/l2,Method
0,Crypturellus cinnamomeus,terminal,5.027178,4.517084,1.112925507,TreePL
1,Crypturellus undulatus,terminal,5.027178,4.517084,1.112925507,TreePL
2,  ,internal,4.645916,7.203327,0.644968082,TreePL
3,Crypturellus soui,terminal,9.673093,11.72041,0.82532036,TreePL
4,  ,internal,14.426907,12.382881,1.165068694,TreePL
5,Tinamus guttatus,terminal,24.1,24.103291,0.999863463,TreePL
6,  ,internal,2.558247,2.883073,0.887333411,TreePL
7,Nothocercus julius,terminal,8.174887,10.164235,0.804279614,TreePL
8,Nothocercus nigrocapillus,terminal,8.174887,10.164235,0.804279614,TreePL
9,  ,internal,18.48336,16.82213,1.098752655,TreePL
10,  ,internal,1.585181,1.962744,0.807635127,TreePL
11,Nothoprocta ornata,terminal,0.719121,0.519697,1.38373129,TreePL
12,Nothoprocta pentlandii,terminal,0.719121,0.519697,1.38373129,TreePL
13,  ,internal,2.226349,2.430609,0.915963448,TreePL
14,Nothoprocta perdicaria,terminal,2.94547,2.950306,0.998360848,TreePL
15,  ,internal,4.51453,4.509694,1.001072357,TreePL
16,Eudromia elegans,terminal,7.46,7.46,1,TreePL
17,  ,internal,20.783428,21.489108,0.967161038,TreePL
18,  ,internal,28.281183,29.396127,0.962071738,TreePL
19,Rhea americana,terminal,22.74,22.74,1,TreePL
20,Rhea pennata,terminal,22.74,22.74,1,TreePL
21,  ,internal,33.784611,35.605235,0.948866396,TreePL
22,  ,internal,0.936532,0.788633,1.187538437,TreePL
23,Apteryx haastii,terminal,0.498187,1.036398,0.480690816,TreePL
24,Apteryx owenii,terminal,0.498187,1.036398,0.480690816,TreePL
25,  ,internal,1.822248,2.57363,0.708045834,TreePL
26,Apteryx australis,terminal,0.980914,1.335423,0.734534301,TreePL
27,Apteryx rowi,terminal,0.980914,1.335423,0.734534301,TreePL
28,  ,internal,1.339521,2.274605,0.588902689,TreePL
29,  ,internal,40.082929,50.289328,0.797046423,TreePL
30,Casuarius casuarius,terminal,27.82,27.82,1,TreePL
31,Dromaius novaehollandiae,terminal,27.82,27.82,1,TreePL
32,  ,internal,14.583364,26.079356,0.559191876,TreePL
33,  ,internal,15.057779,5.234512,2.876634727,TreePL
34,  ,internal,8.244792,8.184212,1.007402057,TreePL
35,Struthio camelus,terminal,65.705936,67.31808,0.976051842,TreePL
36,  ,internal,73.423031,67.031058,1.095358378,TreePL
37,Molothrus ater,terminal,3.264473,3.822193,0.854083768,TreePL
38,Quiscalus mexicanus,terminal,3.264473,3.822193,0.854083768,TreePL
39,  ,internal,0.654273,0.831006,0.787326445,TreePL
40,Agelaius phoeniceus,terminal,3.918746,4.653199,0.842161704,TreePL
41,  ,internal,6.576128,5.823081,1.129321059,TreePL
42,Setophaga coronata,terminal,2.953257,4.126562,0.715670091,TreePL
43,Setophaga kirtlandii,terminal,2.953257,4.126562,0.715670091,TreePL
44,  ,internal,7.541617,6.349718,1.187708966,TreePL
45,  ,internal,0.875126,0.89372,0.979194826,TreePL
46,Junco hyemalis,terminal,4.592569,4.984467,0.921376147,TreePL
47,Zonotrichia albicollis,terminal,4.592569,4.984467,0.921376147,TreePL
48,  ,internal,2.803735,2.819532,0.994397297,TreePL
49,Melospiza melodia,terminal,7.396304,7.803999,0.947758194,TreePL
