order,age,method
Falconiformes,25.0966,MD-CAT+CASTLES-Pro
Musophagiformes,25.1648,MD-CAT+CASTLES-Pro
Otidiformes,16.5952,MD-CAT+CASTLES-Pro
Pterocliformes,15.2518,MD-CAT+CASTLES-Pro
Apterygiformes,1.5398,MD-CAT+CASTLES-Pro
Bucerotiformes,62,MD-CAT+CASTLES-Pro
Strigiformes,35.5741,MD-CAT+CASTLES-Pro
Columbiformes,22.5537,MD-CAT+CASTLES-Pro
Psittaciformes,27.6027,MD-CAT+CASTLES-Pro
Anseriformes,52.6001,MD-CAT+CASTLES-Pro
Cuculiformes,53.0865,MD-CAT+CASTLES-Pro
Gruiformes,60.76,MD-CAT+CASTLES-Pro
Procellariiformes,38.5,MD-CAT+CASTLES-Pro
Accipitriformes,61.3752,MD-CAT+CASTLES-Pro
Coraciiformes,60.1775,MD-CAT+CASTLES-Pro
Piciformes,65.9212,MD-CAT+CASTLES-Pro
Tinamiformes,25.5684,MD-CAT+CASTLES-Pro
Galliformes,65.2477,MD-CAT+CASTLES-Pro
Strisores,66.067,MD-CAT+CASTLES-Pro
Pelecaniformes,65.0677,MD-CAT+CASTLES-Pro
Charadriiformes,60.0255,MD-CAT+CASTLES-Pro
Passeriformes,38.152,MD-CAT+CASTLES-Pro
Falconiformes,20.4895,MD-CAT+Concat(RAxML)
Musophagiformes,53.0498,MD-CAT+Concat(RAxML)
Otidiformes,18.4715,MD-CAT+Concat(RAxML)
Pterocliformes,16.5235,MD-CAT+Concat(RAxML)
Apterygiformes,2.4263,MD-CAT+Concat(RAxML)
Bucerotiformes,62,MD-CAT+Concat(RAxML)
Strigiformes,52.1184,MD-CAT+Concat(RAxML)
Columbiformes,24.1136,MD-CAT+Concat(RAxML)
Psittaciformes,30.5232,MD-CAT+Concat(RAxML)
Anseriformes,50.9899,MD-CAT+Concat(RAxML)
Cuculiformes,50.6606,MD-CAT+Concat(RAxML)
Gruiformes,60.76,MD-CAT+Concat(RAxML)
Procellariiformes,38.5,MD-CAT+Concat(RAxML)
Accipitriformes,64.9317,MD-CAT+Concat(RAxML)
Coraciiformes,60.2352,MD-CAT+Concat(RAxML)
Piciformes,66.336,MD-CAT+Concat(RAxML)
Tinamiformes,25.831,MD-CAT+Concat(RAxML)
Galliformes,57.6283,MD-CAT+Concat(RAxML)
Strisores,65.5656,MD-CAT+Concat(RAxML)
Pelecaniformes,65.7816,MD-CAT+Concat(RAxML)
Charadriiformes,57.9222,MD-CAT+Concat(RAxML)
Passeriformes,38.4985,MD-CAT+Concat(RAxML)
Falconiformes,31.9725,MCMCtree
Musophagiformes,25.3536,MCMCtree
Otidiformes,15.8221,MCMCtree
Pterocliformes,15.8105,MCMCtree
Apterygiformes,4.16329,MCMCtree
Bucerotiformes,55.3353,MCMCtree
Strigiformes,55.6206,MCMCtree
Columbiformes,23.7243,MCMCtree
Psittaciformes,35.2522,MCMCtree
Anseriformes,49.2894,MCMCtree
Cuculiformes,48.2722,MCMCtree
Gruiformes,56.6579,MCMCtree
Procellariiformes,54.4852,MCMCtree
Accipitriformes,62.1768,MCMCtree
Coraciiformes,56.1968,MCMCtree
Piciformes,55.637,MCMCtree
Tinamiformes,47.848,MCMCtree
Galliformes,66.7052,MCMCtree
Strisores,62.2505,MCMCtree
Pelecaniformes,60.6993,MCMCtree
Charadriiformes,55.1164,MCMCtree
Passeriformes,50.7065,MCMCtree
