genus,age,method
Automo,2.82237,TreePL+CASTLES-Pro
Gralula,6.39358,TreePL+CASTLES-Pro
Lepta,4.19249,TreePL+CASTLES-Pro
Musaxi,2.97107,TreePL+CASTLES-Pro
Poeci,4.80287,TreePL+CASTLES-Pro
Dryphi,3.47954,TreePL+CASTLES-Pro
Geos,4.95606,TreePL+CASTLES-Pro
Hypmis,2.8536,TreePL+CASTLES-Pro
Tolmom,2.08582,TreePL+CASTLES-Pro
Epinec,3.38263,TreePL+CASTLES-Pro
Euchre,1.79607,TreePL+CASTLES-Pro
Knipo,1.21486,TreePL+CASTLES-Pro
Lipau,4.2354,TreePL+CASTLES-Pro
Phymyi,5.70415,TreePL+CASTLES-Pro
Pachy,4.35757,TreePL+CASTLES-Pro
Phace,2.726,TreePL+CASTLES-Pro
Xiphor,4.86923,TreePL+CASTLES-Pro
Tyranus,1.36396,TreePL+CASTLES-Pro
Cincl,2.67381,TreePL+CASTLES-Pro
Contop,1.5839,TreePL+CASTLES-Pro
Empinax,1.46248,TreePL+CASTLES-Pro
Zimmer,3.45854,TreePL+CASTLES-Pro
Physca,5.20851,TreePL+CASTLES-Pro
Ochoec,2.52825,TreePL+CASTLES-Pro
Pyrigl,2.08815,TreePL+CASTLES-Pro
Elaen,3.50316,TreePL+CASTLES-Pro
Pitta,9.18348,TreePL+CASTLES-Pro
Hemit,4.80287,TreePL+CASTLES-Pro
Herpsi,3.69336,TreePL+CASTLES-Pro
Formvor,5.58444,TreePL+CASTLES-Pro
Myrrul,6.8036,TreePL+CASTLES-Pro
Crani,3.05179,TreePL+CASTLES-Pro
Myiar,3.00338,TreePL+CASTLES-Pro
Asthen,3.75465,TreePL+CASTLES-Pro
Gralria,9.69083,TreePL+CASTLES-Pro
Dysith,3.15021,TreePL+CASTLES-Pro
Syna,3.57747,TreePL+CASTLES-Pro
Scyta,3.41851,TreePL+CASTLES-Pro
Thamphil,4.44163,TreePL+CASTLES-Pro
Automo,3.46388,TreePL+Concat(RAxML)
Gralula,8.62591,TreePL+Concat(RAxML)
Lepta,4.34049,TreePL+Concat(RAxML)
Musaxi,2.96655,TreePL+Concat(RAxML)
Poeci,6.17783,TreePL+Concat(RAxML)
Dryphi,5.89346,TreePL+Concat(RAxML)
Geos,5.95558,TreePL+Concat(RAxML)
Hypmis,4.41566,TreePL+Concat(RAxML)
Tolmom,3.19308,TreePL+Concat(RAxML)
Epinec,6.37758,TreePL+Concat(RAxML)
Euchre,3.14779,TreePL+Concat(RAxML)
Knipo,2.12062,TreePL+Concat(RAxML)
Lipau,4.42978,TreePL+Concat(RAxML)
Phymyi,6.93914,TreePL+Concat(RAxML)
Pachy,7.08808,TreePL+Concat(RAxML)
Phace,2.77279,TreePL+Concat(RAxML)
Xiphor,3.99605,TreePL+Concat(RAxML)
Tyranus,1.79234,TreePL+Concat(RAxML)
Cincl,2.88632,TreePL+Concat(RAxML)
Contop,1.66948,TreePL+Concat(RAxML)
Empinax,1.88716,TreePL+Concat(RAxML)
Zimmer,3.36896,TreePL+Concat(RAxML)
Physca,5.98399,TreePL+Concat(RAxML)
Ochoec,3.64341,TreePL+Concat(RAxML)
Pyrigl,2.16607,TreePL+Concat(RAxML)
Elaen,4.90359,TreePL+Concat(RAxML)
Pitta,15.4532,TreePL+Concat(RAxML)
Hemit,6.17783,TreePL+Concat(RAxML)
Herpsi,5.91006,TreePL+Concat(RAxML)
Formvor,6.25352,TreePL+Concat(RAxML)
Myrrul,9.61777,TreePL+Concat(RAxML)
Crani,2.46527,TreePL+Concat(RAxML)
Myiar,3.52662,TreePL+Concat(RAxML)
Asthen,3.75788,TreePL+Concat(RAxML)
Gralria,14.9339,TreePL+Concat(RAxML)
Dysith,5.29331,TreePL+Concat(RAxML)
Syna,3.47006,TreePL+Concat(RAxML)
Scyta,4.14836,TreePL+Concat(RAxML)
Thamphil,4.71543,TreePL+Concat(RAxML)
