,Taxon,Node Type,l1,l2,l1/l2,Topology
0,  ,internal,8.437,21.777,0.387427102,ASTRAL
1,  ,internal,19.255,19.262,0.99963659,ASTRAL
2,  ,internal,21.2,21.204,0.999811356,ASTRAL
3,  ,internal,21.607,23.457,0.921132285,ASTRAL
4,  ,internal,0.975,1.425,0.684210526,ASTRAL
5,  ,internal,7.938,17.559,0.452075859,ASTRAL
6,  ,internal,21.971,26.07,0.842769467,ASTRAL
7,  ,internal,23.803,26.518,0.897616713,ASTRAL
8,  ,internal,24.476,30.334,0.806883365,ASTRAL
9,  ,internal,26.525,30.437,0.871472221,ASTRAL
10,  ,internal,0.656,1.629,0.402701044,ASTRAL
11,  ,internal,0.725,1.925,0.376623377,ASTRAL
12,  ,internal,0.776,2.177,0.356453836,ASTRAL
13,  ,internal,0.112,2.096,0.053435115,ASTRAL
14,  ,internal,0.798,2.338,0.341317365,ASTRAL
15,  ,internal,1.034,2.69,0.384386617,ASTRAL
16,  ,internal,1.122,3.313,0.338665862,ASTRAL
17,  ,internal,4.042,3.408,1.186032864,ASTRAL
18,  ,internal,5.159,7.222,0.714345057,ASTRAL
19,  ,internal,0.348,0.996,0.34939759,ASTRAL
20,  ,internal,0.885,1.096,0.807481752,ASTRAL
21,  ,internal,1.163,1.812,0.64183223,ASTRAL
22,  ,internal,2.161,3.503,0.6168998,ASTRAL
23,  ,internal,0.892,2.366,0.377007608,ASTRAL
24,  ,internal,1.906,4.333,0.439879991,ASTRAL
25,  ,internal,3.501,5.757,0.608129234,ASTRAL
26,  ,internal,5.198,11.154,0.466021158,ASTRAL
27,  ,internal,0.664,0.461,1.440347072,ASTRAL
28,  ,internal,3.187,8.704,0.366153493,ASTRAL
29,  ,internal,5.236,11.64,0.449828179,ASTRAL
30,  ,internal,7.615,11.656,0.653311599,ASTRAL
31,  ,internal,1.466,4.362,0.336084365,ASTRAL
32,  ,internal,3.885,4.522,0.859133127,ASTRAL
33,  ,internal,1.732,2.92,0.593150685,ASTRAL
34,  ,internal,4.877,3.152,1.547271574,ASTRAL
35,  ,internal,11.883,17.241,0.689229163,ASTRAL
36,  ,internal,12.297,23.223,0.52951815,ASTRAL
37,  ,internal,12.812,23.593,0.543042428,ASTRAL
38,  ,internal,0.165,2.089,0.07898516,ASTRAL
39,  ,internal,3.046,5.879,0.518115326,ASTRAL
40,  ,internal,0.968,0.525,1.843809524,ASTRAL
41,  ,internal,3.743,7.261,0.515493734,ASTRAL
42,  ,internal,3.241,6.765,0.479083518,ASTRAL
43,  ,internal,4.667,9.355,0.498877606,ASTRAL
44,  ,internal,1.885,4.452,0.423405211,ASTRAL
45,  ,internal,0.71,3.408,0.208333333,ASTRAL
46,  ,internal,3.235,9.936,0.325583736,ASTRAL
47,  ,internal,4.97,15.485,0.320955764,ASTRAL
48,  ,internal,8.567,15.774,0.543108913,ASTRAL
49,  ,internal,13.341,24.017,0.555481534,ASTRAL
50,  ,internal,0.013,0.627,0.020733652,ASTRAL
51,  ,internal,0.102,0.695,0.14676259,ASTRAL
