,Taxon,Branch Type,l1,l2,l1/l2,Topology
0,Cariama Y101002,terminal,65.19349,69.216681,0.941875413,ASTRAL
1,Micrastur L11298,terminal,60.357515,60.211881,1.002418692,ASTRAL
2,Nestor notab A13087,terminal,9.979617,21.777067,0.458262676,ASTRAL
3,Aratinga L38084,terminal,9.979617,21.777067,0.458262676,ASTRAL
4,  ,internal,49.920383,38.122933,1.309458089,ASTRAL
5,Certhia L64261,terminal,19.268895,19.261655,1.000375876,ASTRAL
6,Sitta L30550,terminal,19.268895,19.261655,1.000375876,ASTRAL
7,  ,internal,2.62107,4.195065,0.624798424,ASTRAL
8,Passarella L30382,terminal,21.257484,21.203846,1.002529635,ASTRAL
9,Passer L52749,terminal,21.257484,21.203846,1.002529635,ASTRAL
10,  ,internal,0.632481,2.252874,0.280744063,ASTRAL
11,  ,internal,0.427568,2.61298,0.163632328,ASTRAL
12,Corvus brac LSUMZ53041,terminal,1.197291,1.424701,0.840380543,ASTRAL
13,Corvus coride A17778,terminal,1.197291,1.424701,0.840380543,ASTRAL
14,  ,internal,8.448295,16.134002,0.523632946,ASTRAL
15,Artamus L73536,terminal,9.645587,17.558703,0.549333684,ASTRAL
16,  ,internal,12.671946,8.510996,1.488891077,ASTRAL
17,  ,internal,2.508974,0.448516,5.593945366,ASTRAL
18,Pomast temlis A19627,terminal,24.826507,26.518215,0.936205812,ASTRAL
19,  ,internal,0.631345,3.81624,0.165436398,ASTRAL
20,Menura A2360,terminal,25.457852,30.334455,0.839238813,ASTRAL
21,  ,internal,2.609005,0.102586,25.43236894,ASTRAL
22,Chlamy nuclis A19590,terminal,28.066857,30.437041,0.922128304,ASTRAL
23,  ,internal,4.212014,4.871365,0.864647589,ASTRAL
24,Acanth chlris O3RIFL,terminal,29.894301,34.110138,0.876405161,ASTRAL
25,Pitta iris AW33736,terminal,0.971211,1.628963,0.596214279,ASTRAL
26,Pitta versi A2371,terminal,0.971211,1.628963,0.596214279,ASTRAL
27,  ,internal,0.127052,0.295747,0.429596919,ASTRAL
28,Pitta anery W60310,terminal,1.098263,1.92471,0.570612196,ASTRAL
29,  ,internal,0.062604,0.252223,0.248208926,ASTRAL
30,Pitta maxima USNM571809,terminal,1.160867,2.176933,0.533258029,ASTRAL
31,  ,internal,0.066079,0.160925,0.410619854,ASTRAL
32,Pitta elega W89758,terminal,0.157606,2.096469,0.075176881,ASTRAL
33,Pitta steer K28197,terminal,0.157606,2.096469,0.075176881,ASTRAL
34,  ,internal,1.06934,0.24139,4.429926675,ASTRAL
35,  ,internal,0.488843,0.975049,0.50135224,ASTRAL
36,Pitta sorida K14471,terminal,1.557305,2.690156,0.57889022,ASTRAL
37,Pitta molcen K23289,terminal,1.557305,2.690156,0.57889022,ASTRAL
38,  ,internal,0.158484,0.622752,0.254489749,ASTRAL
39,  ,internal,5.100496,0.094871,53.76243531,ASTRAL
40,Pitta molcen DOT17176,terminal,6.816285,3.407778,2.000213922,ASTRAL
41,  ,internal,2.724104,3.814436,0.714156431,ASTRAL
42,Pitta angol F396328,terminal,9.540389,7.222214,1.320978442,ASTRAL
43,  ,internal,0.076091,3.931693,0.01935324,ASTRAL
44,Pitta guaj LSUMZ36368,terminal,0.444247,0.995815,0.446113987,ASTRAL
45,Pitta guaj A10887,terminal,0.444247,0.995815,0.446113987,ASTRAL
46,  ,internal,0.690598,0.099929,6.91088673,ASTRAL
47,Pitta guaj A9652,terminal,1.134845,1.095744,1.03568443,ASTRAL
48,  ,internal,0.373959,0.71674,0.521749867,ASTRAL
49,Pitta baud LSUMZ30211,terminal,1.508804,1.812484,0.832450935,ASTRAL
50,  ,internal,1.368817,1.690634,0.80964715,ASTRAL
51,Pitta cyane K31228,terminal,2.877621,3.503118,0.821445638,ASTRAL
52,  ,internal,1.992953,2.253449,0.8844012,ASTRAL
53,Pitta soror K23304,terminal,1.142798,2.366355,0.482935992,ASTRAL
54,Pitta oat A2636,terminal,1.142798,2.366355,0.482935992,ASTRAL
55,  ,internal,1.363537,1.966463,0.693395706,ASTRAL
56,Pitta caelea A11090,terminal,2.506335,4.332818,0.578453792,ASTRAL
57,  ,internal,2.364239,1.423748,1.660574062,ASTRAL
58,  ,internal,4.745907,5.397341,0.879304643,ASTRAL
59,  ,internal,0.2448,0.486411,0.503278092,ASTRAL
60,Pitta gratin LSUMZ34916,terminal,0.889092,0.461126,1.928089069,ASTRAL
61,Pitta usshe CU,terminal,0.889092,0.461126,1.928089069,ASTRAL
