,Condition,genes,Method,replicate,Step,time_s,mem_gb
0,50,1000,TreePL+CASTLES-Pro,1,Branch length estimation,0.8,0.132532
1,50,1000,TreePL+CASTLES-Pro,1,Dating,0.6,0.020112
2,50,1000,TreePL+CASTLES-Pro,2,Branch length estimation,0.7,0.132336
3,50,1000,TreePL+CASTLES-Pro,2,Dating,0.39,0.021912
4,50,1000,TreePL+CASTLES-Pro,3,Branch length estimation,0.76,0.132348
5,50,1000,TreePL+CASTLES-Pro,3,Dating,0.53,0.023936
6,50,1000,TreePL+CASTLES-Pro,4,Branch length estimation,0.68,0.132392
7,50,1000,TreePL+CASTLES-Pro,4,Dating,0.52,0.025276
8,50,1000,TreePL+CASTLES-Pro,5,Branch length estimation,0.65,0.132412
9,50,1000,TreePL+CASTLES-Pro,5,Dating,0.47,0.026244
10,50,1000,TreePL+CASTLES-Pro,6,Branch length estimation,0.67,0.132344
11,50,1000,TreePL+CASTLES-Pro,6,Dating,0.52,0.026776
12,50,1000,TreePL+CASTLES-Pro,7,Branch length estimation,0.74,0.13236
13,50,1000,TreePL+CASTLES-Pro,7,Dating,0.33,0.026516
14,50,1000,TreePL+CASTLES-Pro,8,Branch length estimation,0.7,0.132344
15,50,1000,TreePL+CASTLES-Pro,8,Dating,0.6,0.022632
16,50,1000,TreePL+CASTLES-Pro,9,Branch length estimation,0.76,0.132388
17,50,1000,TreePL+CASTLES-Pro,9,Dating,0.41,0.018912
18,50,1000,TreePL+CASTLES-Pro,10,Branch length estimation,0.78,0.132348
19,50,1000,TreePL+CASTLES-Pro,10,Dating,0.48,0.024688
20,50,1000,TreePL+CASTLES-Pro,11,Branch length estimation,0.7,0.132436
21,50,1000,TreePL+CASTLES-Pro,11,Dating,0.42,0.024492
22,50,1000,TreePL+CASTLES-Pro,12,Branch length estimation,0.8,0.13236
23,50,1000,TreePL+CASTLES-Pro,12,Dating,0.47,0.024464
24,50,1000,TreePL+CASTLES-Pro,13,Branch length estimation,0.75,0.132344
25,50,1000,TreePL+CASTLES-Pro,13,Dating,0.65,0.018988
26,50,1000,TreePL+CASTLES-Pro,14,Branch length estimation,0.69,0.132432
27,50,1000,TreePL+CASTLES-Pro,14,Dating,0.38,0.023152
28,50,1000,TreePL+CASTLES-Pro,15,Branch length estimation,0.77,0.134472
29,50,1000,TreePL+CASTLES-Pro,15,Dating,0.64,0.023408
30,50,1000,TreePL+CASTLES-Pro,16,Branch length estimation,0.64,0.132348
31,50,1000,TreePL+CASTLES-Pro,16,Dating,0.84,0.017948
32,50,1000,TreePL+CASTLES-Pro,17,Branch length estimation,0.7,0.132308
33,50,1000,TreePL+CASTLES-Pro,17,Dating,0.74,0.0265
34,50,1000,TreePL+CASTLES-Pro,18,Branch length estimation,0.64,0.132344
35,50,1000,TreePL+CASTLES-Pro,18,Dating,0.46,0.02652
36,50,1000,TreePL+CASTLES-Pro,19,Branch length estimation,0.67,0.132476
37,50,1000,TreePL+CASTLES-Pro,19,Dating,0.88,0.023688
38,50,1000,TreePL+CASTLES-Pro,20,Branch length estimation,0.75,0.132416
39,50,1000,TreePL+CASTLES-Pro,20,Dating,0.87,0.021124
40,50,1000,TreePL+ConBL,1,Branch length estimation,58.35,1.37012
41,50,1000,TreePL+ConBL,1,Dating,0.58,0.025544
42,50,1000,TreePL+ConBL,2,Branch length estimation,35.44,0.994616
43,50,1000,TreePL+ConBL,2,Dating,0.65,0.026792
44,50,1000,TreePL+ConBL,3,Branch length estimation,44.5,1.178172
