,Calibrations,Condition,Method,replicate,AD,GTEE,l-true,l-est
0,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,001,0.5259999999999988,0.5410144059658988,0.3387307043566099,0.32985034392583856
1,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,002,0.22014814814814831,0.40977601117342355,0.3807772206741057,0.38623680856428627
2,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,003,0.36555555555555747,0.6302838286556018,0.475894220839105,0.504419057346399
3,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,004,0.4834074074074083,0.4844009614186549,0.3989546325977487,0.675036416072038
4,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,005,0.5631851851851827,0.6572454616856456,0.3860498356489165,0.45371585670773174
5,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,006,0.854666666666669,0.5781402603307109,0.33230109199280977,0.3969651615470045
6,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,007,0.14940740740740788,0.44642437401911433,0.588654296994335,0.6104576031647406
7,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,008,0.278148148148148,0.28555820886466937,0.5461762432026818,0.5582797667378939
8,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,009,0.5112592592592585,0.36324690459504505,0.5596458386962019,0.4616892268172103
9,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,010,0.2836296296296299,0.480865240524267,0.37329253004179913,0.3677989891360976
10,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,011,0.7174074074074068,0.6983216853261927,0.41616621658216163,0.3734773946133621
11,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,012,0.4942962962962966,0.3059284159153626,0.45905789539968533,0.5374744595973607
12,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,013,0.6484444444444425,0.7844334056102499,0.25011791069542616,0.3946699020814122
13,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,014,0.5997037037037016,0.5368180791986852,0.2878712189830002,0.4299738458071553
14,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,015,0.048962962962962917,0.45105441888349107,0.3406493293514837,0.38336266025601234
15,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,016,0.3954814814814837,0.5150065805226738,0.4081450210402493,0.4048571055511285
16,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,017,0.3549629629629644,0.289404814501114,0.5070749185406319,0.4960274488109032
17,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,018,0.734666666666667,0.42528352306110856,0.35348867313873267,0.35471981297190525
18,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,019,0.686592592592591,0.5453044928207359,0.3704535414116231,0.47047451369999416
19,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,020,0.3656296296296313,0.385255160111522,0.4360548463687995,0.47089851355594947
20,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,021,0.12133333333333364,0.32643379359515434,0.5662237800464661,0.5490943525816558
21,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,022,0.29948148148148185,0.24271115414220848,0.5729659612331927,0.6409295922075652
22,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,023,0.07214814814814817,0.46799928702368393,0.30598615877312507,0.39209087222037936
23,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,024,0.7655555555555562,0.4915263747490844,0.3929058266956659,0.6600530468927498
24,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,025,0.2586666666666661,0.5762464124581227,0.30309739757291243,0.28448112829569927
25,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,026,0.3905185185185206,0.579235137702457,0.3641804618347272,0.46033034889063235
26,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,027,0.11607407407407433,0.39346539940177816,0.43498511427275854,0.3789590485113675
27,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,028,0.3780000000000023,0.8171772788501015,0.31351310020560286,0.30401282249839295
28,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,029,0.27474074074074073,0.5206626805085589,0.40450336791951824,0.49858142038146397
29,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,030,0.5474074074074057,0.36018403173575525,0.3978392916904444,0.455751245501328
30,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,031,0.3903703703703723,0.39378327389646733,0.4166409865754677,0.4615423756655403
31,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,032,0.7915555555555561,0.3266535486256698,0.3263786998321992,0.5576482602220724
32,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,033,0.4104444444444467,0.3198943279652247,0.6709338800056204,0.7201124211648412
33,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,034,0.7245185185185178,0.6591141990824875,0.2903688724685462,0.2615971618439482
34,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,035,0.14481481481481512,0.5199224102075813,0.3395190468464564,0.32733852334159236
35,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,036,0.7191851851851848,0.6295209775292974,0.3389111445138447,0.3865574221339682
36,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,037,0.7098518518518507,0.6913881477466124,0.4078901057646511,0.2428629951615642
37,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,038,0.5639999999999981,0.3752529306150978,0.5801988276393847,0.6126038308373591
38,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,039,0.46525925925926015,0.6302365078492292,0.4208438861190554,0.38534912391211645
39,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,040,0.043925925925925854,0.36732306426329897,0.4929676999544084,0.5883154399023487
40,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,041,0.08185185185185204,0.2917119967522574,0.41419979699913684,0.43551123987549384
41,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,042,0.21229629629629684,0.2391729828522284,0.4611174455534106,0.5738955969145022
42,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,043,0.43740740740740924,0.5696655902735517,0.33161824254488326,0.4137573335184945
43,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,044,0.527703703703703,0.6061413981988177,0.390033689878957,0.25343882788643546
44,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,045,0.4686666666666676,0.27958765560250115,0.5605118434232371,0.6085696305440773
45,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,046,0.806370370370372,0.39554131077239585,0.4011066663093379,0.5168957781071971
46,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,047,0.5262222222222214,0.3341601021182123,0.5739099139709047,0.6790796911753352
47,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,048,0.6393333333333305,0.3784198489751923,0.35738679172335114,0.4487505467354864
48,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,049,0.49370370370370426,0.3838501067571897,0.38546583530710504,0.4669594691940971
49,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,050,0.736444444444444,0.45703472936764683,0.4629161200273824,0.5240463843218577
50,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,051,0.129851851851852,0.5838461880055373,0.33556083837271095,0.24190033794070293
51,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,052,0.909333333333337,0.7629190516714325,0.3812417647479705,0.13000580577674276
52,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,053,0.42481481481481714,0.6143250195633645,0.4431954688017085,0.3875164161257975
53,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,054,0.480666666666668,0.4519043562415645,0.4022941623954172,0.6523009140316697
54,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,055,0.6509629629629604,0.47422789862441417,0.3215270445936159,0.345322287779333
55,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,056,0.7153333333333333,0.4683132328741638,0.2751596915832259,0.35561278105708793
56,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,057,0.4940740740740747,0.7379664488112317,0.45580757164535035,0.47055883069433474
57,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,058,0.10518518518518558,0.5855304572697805,0.3038162807854467,0.3574190836294403
58,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,059,0.2174814814814816,0.2425394531562041,0.46238007820011245,0.5781045725374686
59,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,060,0.8676296296296324,0.6826138694347103,0.2675356034336436,0.3150946553164999
60,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,061,0.6192592592592573,0.513648452984803,0.3764923940074114,0.3735100027651827
61,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,062,0.6308888888888866,0.7777331809591481,0.42089309826453036,0.3742630944931688
62,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,063,0.8901481481481511,0.6737706508333202,0.3777760509965049,0.19928057505986407
63,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,064,0.4940740740740743,0.43276500334705137,0.458932788455036,0.5124217590888854
64,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,065,0.5688148148148128,0.4005789621146884,0.448750325442603,0.42136121605217197
65,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,066,0.1336296296296299,0.4874939909117976,0.4574191739378919,0.4757734950341544
66,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,067,0.5134074074074066,0.647348710481838,0.3386562869395164,0.3441872400314722
67,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,068,0.8742222222222255,0.752872017944346,0.40084801062666603,0.3529468819080297
68,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,069,0.5394074074074062,0.39436811236679137,0.3945493860488684,0.3230291420626298
69,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,070,0.2267407407407411,0.37744787259885315,0.4013133212486141,0.3511541996317324
70,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,071,0.6454074074074048,0.6610728426815027,0.3906445740437912,0.5542480514747347
71,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,072,0.36985185185185393,0.31732248121698137,0.5756297039813947,0.6234035703253283
72,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,073,0.07703703703703718,0.45801176852193815,0.37489704494317766,0.3653710691731455
73,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,074,0.2665185185185183,0.5439485841241004,0.4583323973673134,0.5054270967263562
74,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,075,0.5265185185185177,0.3978206329437099,0.44798415010929954,0.47005080181570386
75,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,076,0.23948148148148163,0.5829908888545928,0.40199655778696675,0.5813819254287025
76,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,077,0.09103703703703735,0.3731699262927244,0.5020831366892504,0.4909052468135473
77,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,078,0.9126666666666701,0.717942381307396,0.29955381601579406,0.290768501323344
78,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,079,0.6691111111111098,0.707332242513167,0.39934204475215945,0.4158947514728071
79,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,080,0.8958518518518545,0.3821514096108042,0.22355421709517734,0.2096879495976316
80,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,081,0.063111111111111,0.736322545130364,0.4188196237958549,0.4084295353767723
81,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,082,0.09429629629629661,0.36833344666378676,0.3925837660876278,0.4400612582586891
82,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,083,0.7403703703703698,0.663432528779002,0.3512369833062789,0.43324051048359147
83,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,084,0.030814814814814726,0.33841994279764837,0.4622012947224398,0.41119210187512995
84,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,085,0.10525925925925946,0.2920512171962395,0.31860114153281677,0.2620883284450482
85,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,086,0.029407407407407295,0.5808768517605751,0.41730491404357534,0.4992417290137173
86,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,087,0.6250370370370345,0.5197936710571477,0.2685979055219856,0.3253869825098478
87,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,088,0.3695555555555572,0.3648117067722635,0.5146924538106643,0.5481380488665916
88,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,089,0.4505925925925943,0.5500425209418016,0.40360396902353507,0.4540776627151278
89,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,090,0.4897037037037043,0.48065886512774897,0.34183534535468046,0.40778741496133003
90,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,091,0.9114814814814863,0.5907620804702056,0.3592049912755566,0.2984310987618247
91,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,092,0.20340740740740804,0.36252884165626437,0.3528647171764966,0.6396744507947011
92,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,093,0.25933333333333314,0.3987919769915321,0.6220581694791902,0.5739357036710585
93,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,094,0.17414814814814886,0.34606752213959546,0.3444997326364015,0.3096761871337512
94,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,095,0.26644444444444415,0.41245796263291273,0.3653774283500826,0.4892668489987066
95,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,096,0.4981481481481481,0.3702051567138184,0.35807308039860347,0.39467431136745423
96,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,097,0.5935555555555537,0.6103541724489511,0.40165755370770734,0.3898030073642138
97,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,098,0.758888888888889,0.4842000652649185,0.3723800864315934,0.4317160902967394
98,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,099,0.8074074074074086,0.49810584103575306,0.3258420856312498,0.4678100497325373
99,3,outgroup.0.species.0.15.genes.0.15,LSD+CASTLES-Pro,100,0.0645185185185184,0.4491915839899245,0.6683808398825483,0.6892970117463946
100,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),001,0.5259999999999988,0.5410144059658988,0.3387307043566099,0.21227409691911728
101,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),002,0.22014814814814831,0.40977601117342355,0.3807772206741057,0.3342121446191241
102,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),003,0.36555555555555747,0.6302838286556018,0.475894220839105,0.34470505636430565
103,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),004,0.4834074074074083,0.4844009614186549,0.3989546325977487,0.42922694522130594
104,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),005,0.5631851851851827,0.6572454616856456,0.3860498356489165,0.2813198332647762
105,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),006,0.854666666666669,0.5781402603307109,0.33230109199280977,0.16040312318344302
106,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),007,0.14940740740740788,0.44642437401911433,0.588654296994335,0.4861082590844095
107,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),008,0.278148148148148,0.28555820886466937,0.5461762432026818,0.4176213097213548
108,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),009,0.5112592592592585,0.36324690459504505,0.5596458386962019,0.27154842920030187
109,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),010,0.2836296296296299,0.480865240524267,0.37329253004179913,0.33594401117275985
110,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),011,0.7174074074074068,0.6983216853261927,0.41616621658216163,0.18755648764235966
111,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),012,0.4942962962962966,0.3059284159153626,0.45905789539968533,0.31626393918851586
112,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),013,0.6484444444444425,0.7844334056102499,0.25011791069542616,0.20417432208083486
113,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),014,0.5997037037037016,0.5368180791986852,0.2878712189830002,0.2532638357208534
114,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),015,0.048962962962962917,0.45105441888349107,0.3406493293514837,0.35756570293645545
115,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),016,0.3954814814814837,0.5150065805226738,0.4081450210402493,0.2681643486564116
116,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),017,0.3549629629629644,0.289404814501114,0.5070749185406319,0.3871368058461433
117,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),018,0.734666666666667,0.42528352306110856,0.35348867313873267,0.2000560993268288
118,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),019,0.686592592592591,0.5453044928207359,0.3704535414116231,0.2644200541656493
119,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),020,0.3656296296296313,0.385255160111522,0.4360548463687995,0.32823575489137646
120,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),021,0.12133333333333364,0.32643379359515434,0.5662237800464661,0.5119503577808449
121,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),022,0.29948148148148185,0.24271115414220848,0.5729659612331927,0.4244842527119259
122,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),023,0.07214814814814817,0.46799928702368393,0.30598615877312507,0.2848154693961513
123,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),024,0.7655555555555562,0.4915263747490844,0.3929058266956659,0.27611669175756726
124,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),025,0.2586666666666661,0.5762464124581227,0.30309739757291243,0.22611823590593003
125,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),026,0.3905185185185206,0.579235137702457,0.3641804618347272,0.33869059371763893
126,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),027,0.11607407407407433,0.39346539940177816,0.43498511427275854,0.35324694285647834
127,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),028,0.3780000000000023,0.8171772788501015,0.31351310020560286,0.31242592781248557
128,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),029,0.27474074074074073,0.5206626805085589,0.40450336791951824,0.434626509288822
129,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),030,0.5474074074074057,0.36018403173575525,0.3978392916904444,0.2732620099359212
130,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),031,0.3903703703703723,0.39378327389646733,0.4166409865754677,0.35515666616011354
131,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),032,0.7915555555555561,0.3266535486256698,0.3263786998321992,0.27847507141882305
132,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),033,0.4104444444444467,0.3198943279652247,0.6709338800056204,0.43017513668461294
133,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),034,0.7245185185185178,0.6591141990824875,0.2903688724685462,0.1484698279854771
134,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),035,0.14481481481481512,0.5199224102075813,0.3395190468464564,0.3235370876114968
135,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),036,0.7191851851851848,0.6295209775292974,0.3389111445138447,0.20541469820080582
136,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),037,0.7098518518518507,0.6913881477466124,0.4078901057646511,0.14109785714403186
137,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),038,0.5639999999999981,0.3752529306150978,0.5801988276393847,0.36357063734917694
138,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),039,0.46525925925926015,0.6302365078492292,0.4208438861190554,0.2829685461378133
139,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),040,0.043925925925925854,0.36732306426329897,0.4929676999544084,0.47436019912915983
140,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),041,0.08185185185185204,0.2917119967522574,0.41419979699913684,0.3886616475839544
141,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),042,0.21229629629629684,0.2391729828522284,0.4611174455534106,0.41937348242864286
142,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),043,0.43740740740740924,0.5696655902735517,0.33161824254488326,0.25004299873708874
143,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),044,0.527703703703703,0.6061413981988177,0.390033689878957,0.17110333799284125
144,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),045,0.4686666666666676,0.27958765560250115,0.5605118434232371,0.374005184094747
145,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),046,0.806370370370372,0.39554131077239585,0.4011066663093379,0.24797196874046695
146,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),047,0.5262222222222214,0.3341601021182123,0.5739099139709047,0.3874724348756602
147,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),048,0.6393333333333305,0.3784198489751923,0.35738679172335114,0.24678950385552464
148,3,outgroup.0.species.0.15.genes.0.15,LSD+Concat(RAxML),049,0.49370370370370426,0.3838501067571897,0.38546583530710504,0.29639351497180316
