,Condition,genes,Method,replicate,Step,time_s,mem_gb
0,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,1,Branch length estimation,28.15,0.260748
1,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,1,Dating,18.73,0.034032
2,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,2,Branch length estimation,30.61,0.262204
3,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,2,Dating,16.46,0.03422
4,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,3,Branch length estimation,40.37,0.2622
5,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,3,Dating,15.64,0.031448
6,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,4,Branch length estimation,41.38,0.260772
7,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,4,Dating,10.21,0.031496
8,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,5,Branch length estimation,41.0,0.262208
9,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,5,Dating,14.78,0.03376
10,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,6,Branch length estimation,24.81,0.260764
11,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,6,Dating,15.55,0.029604
12,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,7,Branch length estimation,38.06,0.262208
13,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,7,Dating,14.4,0.031384
14,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,8,Branch length estimation,31.62,0.26216
15,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,8,Dating,14.11,0.031916
16,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,9,Branch length estimation,25.01,0.26222
17,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,9,Dating,16.25,0.031664
18,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,10,Branch length estimation,41.82,0.26222
19,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,10,Dating,15.08,0.032476
20,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,11,Branch length estimation,39.66,0.260784
21,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,11,Dating,11.41,0.02938
22,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,12,Branch length estimation,26.66,0.262208
23,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,12,Dating,14.39,0.031384
24,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,13,Branch length estimation,35.48,0.260776
25,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,13,Dating,15.66,0.030924
26,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,14,Branch length estimation,38.84,0.2622
27,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,14,Dating,14.63,0.032176
28,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,15,Branch length estimation,41.61,0.262216
29,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,15,Dating,15.84,0.03376
30,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,16,Branch length estimation,31.9,0.262208
31,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,16,Dating,16.78,0.029908
32,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,17,Branch length estimation,37.55,0.2622
33,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,17,Dating,14.22,0.031912
34,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,18,Branch length estimation,38.27,0.26222
35,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,18,Dating,15.18,0.031124
36,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,19,Branch length estimation,25.7,0.262184
37,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,19,Dating,14.46,0.03374
38,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,20,Branch length estimation,37.57,0.262212
39,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,20,Dating,16.74,0.030396
40,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,21,Branch length estimation,33.65,0.26218
41,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,21,Dating,14.49,0.0327
42,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,22,Branch length estimation,42.06,0.260752
43,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,22,Dating,14.22,0.03138
44,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,23,Branch length estimation,38.99,0.262208
45,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,23,Dating,15.38,0.03112
46,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,24,Branch length estimation,123.17,0.260768
47,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,24,Dating,15.42,0.030924
48,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,25,Branch length estimation,44.4,0.260752
49,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,25,Dating,14.61,0.034024
50,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,26,Branch length estimation,22.71,0.260616
51,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,26,Dating,15.88,0.032172
52,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,27,Branch length estimation,31.08,0.260772
53,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,27,Dating,16.59,0.030924
54,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,28,Branch length estimation,28.65,0.262216
55,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,28,Dating,15.71,0.029072
56,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,29,Branch length estimation,31.15,0.262216
57,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,29,Dating,15.33,0.031648
58,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,30,Branch length estimation,28.31,0.2622
59,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,30,Dating,15.76,0.029644
60,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,31,Branch length estimation,34.2,0.262204
61,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,31,Dating,15.18,0.033692
62,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,32,Branch length estimation,28.46,0.26216
63,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,32,Dating,14.89,0.029644
64,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,33,Branch length estimation,27.16,0.260776
65,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,33,Dating,10.14,0.031756
66,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,34,Branch length estimation,31.1,0.260788
67,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,34,Dating,14.6,0.030328
68,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,35,Branch length estimation,23.53,0.262204
69,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,35,Dating,15.94,0.031188
70,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,36,Branch length estimation,26.53,0.260756
71,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,36,Dating,13.93,0.031648
72,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,37,Branch length estimation,22.68,0.262204
73,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,37,Dating,14.28,0.031912
74,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,38,Branch length estimation,29.87,0.262164
75,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,38,Dating,17.54,0.029196
76,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,39,Branch length estimation,27.74,0.26078
77,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,39,Dating,14.65,0.031912
78,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,40,Branch length estimation,152.86,0.262196
79,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,40,Dating,15.38,0.032968
80,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,41,Branch length estimation,32.07,0.2622
81,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,41,Dating,15.43,0.029868
82,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,42,Branch length estimation,35.91,0.26076
83,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,42,Dating,14.47,0.031648
84,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,43,Branch length estimation,31.87,0.262204
85,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,43,Dating,19.0,0.032208
86,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,44,Branch length estimation,29.75,0.262216
87,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,44,Dating,19.23,0.033112
88,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,45,Branch length estimation,28.44,0.262188
89,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,45,Dating,14.28,0.032968
90,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,46,Branch length estimation,27.6,0.260772
91,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,46,Dating,13.94,0.030896
92,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,47,Branch length estimation,29.21,0.262216
93,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,47,Dating,15.88,0.029604
94,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,48,Branch length estimation,37.63,0.260732
95,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,48,Dating,9.43,0.03244
96,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,49,Branch length estimation,27.47,0.260736
97,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,49,Dating,21.67,0.031008
98,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,50,Branch length estimation,30.23,0.260776
99,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,50,Dating,16.81,0.033052
100,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,1,Branch length estimation,11.46,0.131436
101,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,1,Dating,15.3,0.031688
102,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,2,Branch length estimation,9.46,0.132164
103,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,2,Dating,15.5,0.033968
104,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,3,Branch length estimation,11.25,0.131444
105,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,3,Dating,13.62,0.030644
106,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,4,Branch length estimation,10.91,0.131448
107,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,4,Dating,16.37,0.032184
108,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,5,Branch length estimation,11.05,0.131444
109,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,5,Dating,14.67,0.034484
110,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,6,Branch length estimation,11.38,0.13144
111,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,6,Dating,16.22,0.031188
112,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,7,Branch length estimation,11.16,0.131444
113,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,7,Dating,14.11,0.032172
114,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,8,Branch length estimation,12.55,0.131424
115,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,8,Dating,15.6,0.034224
116,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,9,Branch length estimation,11.39,0.131444
117,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,9,Dating,14.76,0.032216
118,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,10,Branch length estimation,12.93,0.131492
119,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,10,Dating,14.6,0.030132
120,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,11,Branch length estimation,10.8,0.131448
121,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,11,Dating,16.11,0.033956
122,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,12,Branch length estimation,10.43,0.131448
123,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,12,Dating,13.59,0.034748
124,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,13,Branch length estimation,9.96,0.131448
125,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,13,Dating,15.27,0.033956
126,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,14,Branch length estimation,11.27,0.132192
127,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,14,Dating,16.06,0.03244
128,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,15,Branch length estimation,10.07,0.131448
129,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,15,Dating,16.27,0.031172
130,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,16,Branch length estimation,12.28,0.132164
131,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,16,Dating,16.23,0.033756
132,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,17,Branch length estimation,9.78,0.13144
133,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,17,Dating,13.68,0.032968
134,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,18,Branch length estimation,9.98,0.131452
135,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,18,Dating,15.26,0.033688
136,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,19,Branch length estimation,10.19,0.131436
137,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,19,Dating,15.12,0.032968
138,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,20,Branch length estimation,10.56,0.132168
139,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,20,Dating,15.96,0.029092
140,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,21,Branch length estimation,13.12,0.131436
141,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,21,Dating,18.27,0.031716
142,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,22,Branch length estimation,10.59,0.132156
143,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,22,Dating,16.4,0.03554
144,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,23,Branch length estimation,9.69,0.131448
145,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,23,Dating,14.52,0.033972
146,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,24,Branch length estimation,11.67,0.132168
147,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,24,Dating,16.12,0.031452
148,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,25,Branch length estimation,12.32,0.131468
149,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,25,Dating,14.66,0.031116
150,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,26,Branch length estimation,13.0,0.131456
151,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,26,Dating,15.29,0.031648
152,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,27,Branch length estimation,11.06,0.13216
153,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,27,Dating,15.54,0.03038
154,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,28,Branch length estimation,11.94,0.132172
155,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,28,Dating,15.36,0.030396
156,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,29,Branch length estimation,10.93,0.132168
157,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,29,Dating,15.71,0.03348
158,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,30,Branch length estimation,9.94,0.131436
159,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,30,Dating,15.0,0.030396
160,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,31,Branch length estimation,12.56,0.131448
161,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,31,Dating,14.37,0.036284
162,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,32,Branch length estimation,10.47,0.131416
163,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,32,Dating,12.08,0.032176
164,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,33,Branch length estimation,9.95,0.131444
165,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,33,Dating,13.76,0.031632
166,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,34,Branch length estimation,11.1,0.131456
167,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,34,Dating,15.35,0.036784
168,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,35,Branch length estimation,9.35,0.131444
169,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,35,Dating,17.9,0.033064
170,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,36,Branch length estimation,11.19,0.13144
171,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,36,Dating,14.93,0.031188
172,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,37,Branch length estimation,9.55,0.13144
173,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,37,Dating,14.0,0.034288
174,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,38,Branch length estimation,12.01,0.13146
175,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,38,Dating,16.48,0.034008
176,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,39,Branch length estimation,10.57,0.131448
177,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,39,Dating,16.03,0.03248
178,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,40,Branch length estimation,14.26,0.131444
179,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,40,Dating,17.53,0.030292
180,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,41,Branch length estimation,13.04,0.13216
181,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,41,Dating,15.86,0.030396
182,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,42,Branch length estimation,14.37,0.131444
183,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,42,Dating,16.11,0.0329
184,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,43,Branch length estimation,14.87,0.131444
185,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,43,Dating,17.06,0.0332
186,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,44,Branch length estimation,11.57,0.131444
187,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,44,Dating,16.77,0.030988
188,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,45,Branch length estimation,11.53,0.131424
189,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,45,Dating,13.38,0.031648
190,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,46,Branch length estimation,10.62,0.131444
191,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,46,Dating,15.18,0.030132
192,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,47,Branch length estimation,11.6,0.132168
193,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,47,Dating,16.27,0.032568
194,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,48,Branch length estimation,10.44,0.132152
195,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,48,Dating,13.94,0.0304
196,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,49,Branch length estimation,11.0,0.132148
197,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,49,Dating,21.21,0.033624
198,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,50,Branch length estimation,11.7,0.132168
199,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,50,Dating,16.02,0.030396
200,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,1,Branch length estimation,2.59,0.053876
201,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,1,Dating,15.62,0.032176
202,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,2,Branch length estimation,2.24,0.053876
203,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,2,Dating,14.24,0.030964
204,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,3,Branch length estimation,2.61,0.05388
205,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,3,Dating,15.07,0.030132
206,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,4,Branch length estimation,3.38,0.05388
207,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,4,Dating,15.96,0.030664
