GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
1,default,0.036529,500,0.269024,0.209688,0.211964,0.309323,6.726297,1.000000,0.059698,0.086120,0.046755,0.353533
2,default,0.277921,500,0.327513,0.160268,0.196987,0.315232,7.885242,1.000000,0.167480,0.108926,0.085808,0.440064
3,default,0.368981,500,0.228652,0.187787,0.284955,0.298606,2.754658,1.000000,0.216872,0.106505,0.115999,0.277914
4,default,0.037671,500,0.268432,0.184805,0.212397,0.334366,11.894699,1.000000,0.136795,0.152842,0.207150,0.198711
5,default,0.587474,500,0.318212,0.242664,0.248274,0.190850,7.175818,1.000000,0.052225,0.058856,0.103924,0.322976
6,default,2.120697,500,0.314159,0.185531,0.238280,0.262030,3.729758,1.000000,0.165773,0.066295,0.179591,0.284817
7,default,0.113141,500,0.331649,0.193534,0.252391,0.222425,3.555785,1.000000,0.091988,0.145511,0.113114,0.198170
8,default,0.304651,500,0.267343,0.229778,0.236429,0.266450,4.481332,1.000000,0.163514,0.086069,0.111821,0.288333
9,default,0.366757,500,0.313831,0.154897,0.217172,0.314100,3.187302,1.000000,0.136939,0.094464,0.190867,0.267615
10,default,0.515058,500,0.279608,0.261004,0.236262,0.223125,4.644646,1.000000,0.108234,0.056956,0.087350,0.321990
11,default,0.565238,500,0.331660,0.235268,0.219125,0.213946,8.859640,1.000000,0.078617,0.158153,0.167019,0.200307
12,default,0.321911,500,0.299904,0.283538,0.187532,0.229026,3.899972,1.000000,0.056767,0.113853,0.093504,0.332652
13,default,0.197219,500,0.234597,0.247092,0.211953,0.306358,73.323815,1.000000,0.099320,0.097017,0.203801,0.288408
14,default,1.300650,500,0.293805,0.228410,0.215196,0.262589,2.576981,1.000000,0.085929,0.058639,0.067862,0.290732
15,default,0.480616,500,0.290670,0.201711,0.255108,0.252511,6.836641,1.000000,0.105332,0.110650,0.081910,0.324186
16,default,0.662343,500,0.263050,0.200812,0.294767,0.241371,5.426987,1.000000,0.080417,0.176552,0.038295,0.266162
17,default,0.460224,500,0.314055,0.224592,0.257037,0.204316,10.410590,1.000000,0.064055,0.118299,0.156947,0.327155
18,default,0.405015,500,0.223858,0.202185,0.299071,0.274886,4.320252,1.000000,0.081005,0.080295,0.118443,0.328312
19,default,0.882858,500,0.320510,0.195575,0.175201,0.308714,3.701729,1.000000,0.130264,0.130387,0.143556,0.303514
20,default,2.111968,500,0.336283,0.227254,0.177520,0.258943,2.949659,1.000000,0.119593,0.111909,0.070911,0.334722
21,default,0.573211,500,0.244113,0.220351,0.219845,0.315691,4.663974,1.000000,0.108120,0.077926,0.146072,0.334417
22,default,0.079650,500,0.387691,0.191111,0.164361,0.256837,2.627949,1.000000,0.074157,0.072501,0.170946,0.285816
23,default,1.633305,500,0.319043,0.153849,0.249088,0.278020,2.470708,1.000000,0.122850,0.059034,0.100199,0.415462
24,default,1.019117,500,0.304260,0.150310,0.233718,0.311712,2.450451,1.000000,0.216265,0.088850,0.092837,0.312108
25,default,0.575445,500,0.217106,0.218313,0.220695,0.343886,12.823526,1.000000,0.060521,0.069014,0.161662,0.258797
